標題,連結,來源,時間,內文
明起降溫轉涼！專家：留意局部豪大雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBGVVh4WFptRDVjUW9BOXZRUjhkNHlVMnUxWk93aXVWSkFvbXhGTHpFUWsxX1Q0cHVPdm55dUZTVGdWWjNGRWllWktVMFZNREptcXFMRTFvNmRKdw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,3 小時前,"熱帶擾動發展今(21)日將抵達台灣附近，明起對台灣帶來明顯降雨。「天氣風險 WeatherRisk」臉書粉專表示，因低壓帶南北風會合，週末至下週二降雨多，需留意局部豪大雨。另外，因東北季風以及下雨，明天到下週一各地的氣溫都會較為下降轉涼。
天氣風險公司提到，在台灣東方的熱帶擾動，昨天已升格為熱帶性低氣壓TD19。但因為結構並不好，加上環境不理想，預估發展為颱風的機會不高，本身對台灣的天氣沒有明顯影響。不過隨著熱帶性低氣壓北上，加上位於南海北部的另一個季風低壓中心，共同連結成大範圍的低壓帶環境，造成天氣不穩定。今天受偏南風水氣影響，南部、東南部有短暫陣雨或雷雨。其他地方熱對流發展帶來局部大雷雨的可能性也較為偏高。
天氣風險公司指出，明日至下週一因為北邊有大陸高壓帶來的東北季風南下，台灣附近形成南北風交會的低壓帶環境，各地都將有陣雨或雷雨，並且有局部大雨甚至豪雨發生的可能性。下週二東北季風強度減弱，南海的季風低壓也北上進入廣東省，低氣壓外圍偏南風強度也會慢慢減小，南北風交會的情況趨緩，各地天氣雖然還是不太穩定，但是降雨會比較減小。天氣風險公司提醒民眾，要多加注意天氣的變化，盡可能不要前往危險的區域活動。
「天氣風險 WeatherRisk」臉書粉專表示，因低壓帶南北風會合，週末至下週二降雨多，需留意局部豪大雨。   圖：翻攝自天氣風險 WeatherRisk FB"
雙颱對台無影響!今午後防局部豪大雨海邊活動注意長浪| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1jRWFweDAxLUFVUDBQa2hIVFN1cXlucDVFUUtjcmcySmRmT2RMWGwzZUdURno3LWhUMW13cGdIYjlIRlVlQ21ZaWV0VWtKZFpKSXAtcFFQeTQ1Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,14 天前,"今天（7日）水氣偏多，盛行風為偏南風到東南風，南部及東半部地區整天不定時有局部陣雨，澎湖、金門也有降雨的機會，其他地區及馬祖為多雲，清晨中部以北地區也有零星飄雨，午後則受熱力作用，各地有雷陣雨發展，其中以中南部地區及北部山區降雨情形最為明顯，容易有局部大雨或短延時豪雨發生；氣溫方面，由於環境水氣增加，高溫較昨天略為下降，各地約32到35度，中央氣象署針對雙北發布高溫警示，中午前後新北市為橙色燈號，台北市為黃色燈號，外出請注意防曬，多補充水份。
明天（8日）低氣壓接近，環境轉為東北風，北部及東半部地區有局部短暫陣雨，其他地區為多雲，午後各地有局部短暫雷陣雨，並有局部較大雨勢發生的機率；此外，南部沿海及恆春半島、蘭嶼、綠島、澎湖有長浪發生的機率，海邊浪高有機會來到２米左右，海邊活動請注意。
颱風訊息，第11號颱風摩羯減弱為中度颱風，向西北西方向移動，對海南島、雷州半島、廣西及越南一帶造成影響；另外，位於日本東方海面的第12號輕度颱風麗琵，距離非常遙遠，對台灣天氣無影響。"
19縣市大雨特報！氣象署：6縣市大雷雨持續一小時| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1PcUFpYTlVeWhzYXlNOThBZmhGQUxCcm55dnMwcFJoWWFHU05GazVqbExqYWJaYnFibGExNjlucUhSRjFXdlc2YTlwTFlrVkpaUFh4NFlCTFg3UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,13 天前,"午後對流雲系發展旺盛，易有短延時強降雨，今(8)日台灣各地有局部大雨發生的機率，請注意雷擊及強陣風。中央氣象署並針對6縣市發布大雷雨即時消息，持續時間將至15時30分止。
氣象署針對19縣市持續發布大雨特報，範圍包括基隆北海岸、台北市、新北市、桃園市、新竹市、新竹縣、苗栗縣、台中市、彰化縣、南投縣、雲林縣、嘉義市、嘉義縣、台南市、高雄市、屏東縣、恆春半島、宜蘭縣、花蓮縣、台東縣
氣象署也針對，「新北市、桃園市、新竹縣、嘉義縣、台南市、苗栗縣」發布大雷雨即時訊息，持續時間至15時30分止，氣象署說旺盛發展的對流常伴隨打雷、閃電與劇烈降雨，並可能出現較強陣風甚或伴隨冰雹發生，若發生於溪流河川上游易於下游出現溪(河)水暴漲。
氣象署針對19縣市持續發布大雨特報。   圖：翻攝自中央氣署官網"
(影) 4.7級地震、龍捲風、大雨中國異常天象頻傳民眾惶恐不安| 中國,https://news.google.com/read/CBMiWkFVX3lxTE5pckNHOW9GT29SdDZ5TkJBUUdQTDMzRW9sb2hhRWtrdWhWMFpzMlRSWW8yTGd3OF9tOVpHZEYySWJPeXh2UTA4cHVTdFNzWjNwSnoxOW9EWWt6Zw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,2 天前,"中國近日發生許多異常現象，諸如地震、龍捲風、大雨等，使民眾惶恐不安。
X 帳號「沐陽」今（19）日發文表示，中國地震台網昨（18）日說，18 日 20 時 08 分，安徽合肥肥東縣發生 4.7 級地震，江蘇南京、浙江杭州等多地有震感。相關影片顯示，房子劇烈搖晃，屋內的燈也激烈晃動，影片拍攝者聲稱，附近所有人都趕緊離開建築物避難。
X 帳號「德潤傳媒」指出，江蘇宿遷及泗洪臨淮 17 日都出現龍捲風。相關影片中的民眾吃驚看著遠處的龍捲風。巨大龍捲風幾乎將天空遮住，讓人怵目驚心。所幸龍捲風離民眾有段距離，所以沒有慘烈悲劇發生。
X 帳號「Daneil Fang」聲稱，中國最近天象異常，不是龍捲風，就是傾盆大雨。
對於中國異常現象頻傳，網友紛紛在留言區說：「看燈的搖晃程度，就知道地震有多大了。」、「房子都劇烈搖晃，地震好可怕。」、「這龍捲風看起來太恐怖了。」、「我要是看到龍捲風一定立刻跑，才不會停留在原地觀看。」、「突然看到龍捲風，一時之間反應不過來而駐足在原地很正常。」、「顯然中國最近不太平。」
安徽合肥肥東縣發生 4.7 級地震。   翻攝自沐陽 X 帳號
江蘇宿遷及泗洪臨淮 17 日都出現龍捲風。   圖：翻攝自德潤傳媒 X 帳號
安徽合肥肥東縣發生 4.7 級地震，江蘇南京、浙江杭州等多地有震感。   圖：翻攝自四川觀察"
日本石川大雨成災 傳1人失聯2地成陸上孤島,https://news.google.com/read/CBMiWkFVX3lxTE53SU5ZRXJ2bGNJODJic1RIenR6VXh2VE9HbWNlZFdRWWdmc0hvNUozUVVmZ3pNMG1vdGRybzJvRXRHRG5TQjNiTlVHT2ZNMzIyaWdsRnNRSzNhQdIBX0FVX3lxTE9EN1BRbzg0NEJ2N3o0SXREOWFyOHNYc09wNlNRZDNYVlBFb2RtekJGN3pxZ0N2bWNJbndwZ3ZaMm1EZnVBVnVHejl4dmFaNFBkQ2tjSF9HR3hoVmRVeHhF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,2 小時前,"日本能登半島地震災區的石川縣輪島市等地，今天降下大雨已造成1人失聯、多數道路與民宅淹水、道路受阻、5條河川氾濫及2處地點成陸上孤島等災情，另有4860戶民宅停電。
日本石川電視台報導，石川縣政府河川課表示，截至上午11時止，能登地方已有5條河川因大雨發生氾濫。
綜合讀賣新聞、朝日新聞及日本放送協會（NHK）等報導，石川縣奧能登廣域圈事務組合消防本部表示，截至上午11時止，相繼接獲來自輪島市與珠洲市等地的求助通報。
消防單位表示，目前已接獲有人因民宅倒塌無法動彈及被河水沖走等通報，正在進行救援活動。
石川縣政府危機管理監室表示，輪島市已傳出有1人下落不明；輪島市與能登町已確認有建物淹水；珠洲市目前人員受害狀況不明，但市內有兩處地點已成陸上孤島；能登町目前暫未確認有人員受害。
大雨也造成石川縣內發生停電。北陸電力送配電公司表示，截至今天上午11時止，石川縣內總計有4860戶停電，分別是輪島市約3300戶、珠洲市約1100戶及能登町約460戶。
JR東日本公司表示，山形新幹線受到大雨影響，山形站到新庄站區間今天雙向列車全數停駛。
日本北陸地方今天受到秋雨鋒面與朝低氣壓流入的暖濕空氣影響，今天上午降下破紀錄大雨。
截至今天上午11時止的24小時累計雨量，輪島市為290.5毫米、珠洲市為200.5毫米，雙創1976年開始觀測以來的最大雨量。
氣象廳今天上午9時過後表示，石川縣能登地方出現「線狀降水帶」（台灣稱線狀對流，指積雨雲呈線狀排列，可綿延50到300公里遠）。
氣象廳表示，輪島市截至今天上午9時30分前為止，已觀測到時雨量逾120毫米的猛烈雨勢；珠洲市在上午9時40分前，也降下近70毫米的非常激烈雨勢。
氣象廳認為「發生數十年一度重大災害的危險迫在眉睫」，已針對能登半島地震災區的石川縣輪島市、珠洲市與能登町，發布最高警戒等級的「大雨特別警報」。"
雨彈突襲！13縣市大雨特報 4地區列「大雷雨警戒區」,https://news.google.com/read/CBMiWkFVX3lxTE14ZElCMVR0aTVRaHBIanhtb0JZTkZTTUpBaVJuUk9qUWxYUWwyTHpJN2xBRmFDT3pVVmI5cllBT0hnNGtqeHhqTVI3bmtlOFhES2JqZlk0V3FBZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,14 天前,"午後雷陣雨持續轟炸，中央氣象署稍早針對13縣市發布大雨特報，並在11時40分針對基隆、台北市、新北市、宜蘭4縣市發布大雷雨即時訊息，持續時間至12時45分止，請民眾慎防劇烈降雨、雷擊，河水暴漲、坍方、落石、土石流。
今明兩天西半部午後局部對流旺盛，天氣不穩定，易有短延時強降雨。今日氣象署發布大雷雨特報，基隆市七堵區、暖暖區、仁愛區、中山區、安樂區、信義區。台北市松山區、信義區、大安區、中山區、文山區、南港區、內湖區、士林區、北投區。新北市新店區、汐止區、瑞芳區、深坑區、石碇區、坪林區、石門區、平溪區、雙溪區、金山區、萬里區、烏來區。宜蘭縣礁溪鄉、員山鄉有局部大雨或豪雨，慎防劇烈降雨、雷擊，低窪地區慎防淹水，以及低能見度。
另外，中央氣象署針對新北市北勢溪（坪林映像虎寮區）、新北市北港溪（汐止柯子林）、新北市基隆河（平溪望古瀑布）、新北市永定溪（石碇蚯蚓坑）、新北市石碇溪（石碇淡蘭吊橋）、新北市逮魚堀溪、台北市雙溪（雙溪淨水場至聖人瀑布）發布災防告警，持續時間至13時40分。此區域已有暴雨或有暴雨發生的機率，留意溪水暴漲並儘速遠離，以策安全。
中央氣象署稍早針對13縣市發布大雨特報，並在11時40分針對基隆、台北市、新北市、宜蘭4縣市發布大雷雨即時訊息。   圖：翻攝自中央氣象署
中央氣象署稍早針對13縣市發布大雨特報。   圖：翻攝自中央氣象署"
日本能登半島破紀錄豪雨一人失蹤、數千戶停電| 國際,https://news.google.com/read/CBMiWkFVX3lxTE5tbnZjRklXTXdOenFHV1FabmRrMjE1bmJIRzd1N1JFbjh6aWlEN0otVWdLRkhUWEJ3Y2E5OGtqbW1zVllxM2NaQnFsT08wMWVXbDRxci1KNDg5UQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,34 分鐘前,"根據《NHK》及《讀賣新聞》等報導，日本北陸地區，今(21)日受到秋雨鋒面和低氣壓影響，降下破紀錄的豪雨。氣象廳已對能登半島地震受災區的石川縣輪島市、珠洲市及能登町發布「大雨特別警報」。
截至上午 11 時，當地報告已出現1人失蹤，位於石川縣的珠洲市有兩個村落因洪水淹沒而成為孤島。輪島市中心部分地區也出現洪水和土石流，並有四條河川（河原田川、鵜飼川、若山川、紀之川）氾濫。根據日本氣象廳數據，輪島市截至上午 8 時 30 前的一小時內，已觀測到超過120毫米的猛烈強降雨。
此外，北陸電力公司報告，截至上午9時，輪島市、珠洲市及能登町共計約5460戶停電，其中輪島市約3100戶、珠洲市約1200戶、能登町約960戶。停電現象可能與大雨有關，工作人員正前往現場調查，恢復供電的時間尚未可知。
目前，救援單位正積極處理民宅倒塌及被洪水沖走的求助通報，日本政府也呼籲居民保持警覺，確保安全，並根據氣象預報隨時掌握天氣變化。
日本能登半島降下破紀錄的豪雨   圖：翻攝自X / iklim değişikliği haber"
高雄機場因大雨地面作業一度暫停 多航班延誤,https://news.google.com/read/CBMiZEFVX3lxTFBCNzRMM0w0UW12Z2ZoeTlVQjRNUVl0aHRNZTQzTThfa2pWRjdjNEZFNWRORmt3VnFFbldCMTFaSmNTSWJwUlQ1NlJIZWE2SVFLTVdhYmJ4Mnd3ZWt1eldGLW1jQjHSAWpBVV95cUxPbWl5N2RBUC02bFFwdGhJZ3c4TkNwZlVpc0V4NGFHclhtYVp0dFBWR0ljT05aSUpoSmNXZURGeDhWVElGN3kxN3NUTXNVSm1oUlhId2lnTHlHQVNWX1h2SmZMcGZ0WHRRWEVR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,自由時報,7 天前,"


高雄機場因雨勢影響，部分航班延遲，圖為旅客在櫃檯報到情況。（記者洪臣宏攝）
〔記者洪臣宏／高雄報導〕高雄地區今（14）日上午下起大雨，高雄機場8時41分起暫停地面作業，直到大約9點19分才恢復，因此部分航班出現延誤；民航局表示，旅客可透過官網得知最新航班資訊。
氣象署今天上午9時針對高雄市發布大雨特報，因對流雲系發展旺盛，易有短延時強降雨，高雄地區有局部大雨發生的機率，慎防雷擊及強陣風，低窪地區注意積水。
請繼續往下閱讀...

高雄地區上午下起大雨，高雄機場上午8時41分起暫停地面作業，直到大約9點19分才恢復，部分航班因此延誤。
根據高雄國際航空站官網，國內華信航空AE305（高雄-金門）、德安航空DA7009（高雄-七美）航班受天氣影響延遲，華信航空AE339（高雄-澎湖）因地面作業延遲，目前只剩德安航空DA7009（高雄-七美）仍延遲；國際航班則有國泰CX431（高雄-香港）從表定11時20延遲至11時35分起飛，其餘目前都正常起降。
民航局指出，由於雨勢可能持續至夜間，與高雄機場有航班往來的機場也將連帶影響，航班將有延誤，已要求相關航空站立即於航站內透過公佈欄、跑馬、廣播等方式告知旅客，並於官網提供最新航班資訊供民眾查詢。
高雄雨勢打亂高雄機場航班。（記者洪臣宏攝）
高雄機場航班入境情況。（記者洪臣宏攝）
高雄機場國際線航班概況。（記者洪臣宏攝）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
"
「珊珊」颱風登陸日本！ 九州嚴防豪雨及土石流,https://news.google.com/read/CBMiZkFVX3lxTE1GU1FLRWR2c09Oc3RVRUdnQ1lKWHFnUnZ2OVVUdFIyYmVOeEZHY0pGOUJ3c3huNXNTamczZXd3QUp5SnNkRmhWX3FNaXlnb3RENWxWY3UtNjloRWFWSFRoU0RlaUtxUdIBa0FVX3lxTE83T1hibFR3eW9XRHpkSUVzWEd3Z3JldUI0Z09SdVRwVjZWcG55djcxWGhEb2l1RnBBX1NmSmhmNkRJdjhxcHlUQ0x3VHE1YkltaV9nQW45WlhPX2tNeEtoWXBEVXB5NENzSDRF?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,自由時報,8月29日,"


珊珊颱風今早登陸九州鹿兒島縣。（圖擷取自日本氣象廳）
蔡百靈／核稿編輯
〔即時新聞／綜合報導〕今年第10號颱風「珊珊」襲日，先前在九州南方緩慢前進，持續逼近九州一帶。日本氣象廳表示，「珊珊」已於當地時間今日（29日）8點左右在鹿兒島縣薩摩川內市附近登陸。
根據日本《NHK》報導，受到「珊珊」颱風影響，為九州各地帶來強風豪雨，鹿兒島縣枕崎市在凌晨1點左右測得風速達每秒51.5公尺，達到蒲式風力級數的16級風；鹿兒島縣種子島也測得每秒42.1公尺，達14級風。此外，大分縣、宮崎縣及鹿兒島縣，以及太平洋沿岸各縣都降下豪大雨，當局呼籲嚴防土石流及河川溪水暴漲。
請繼續往下閱讀...

日本氣象廳觀測數據顯示，「珊珊」颱風中心位於鹿兒島縣薩摩川內市，以時速15公里朝北北東前進，中心氣壓955百帕，近中心最大風速為每秒40公尺。
珊珊颱風為大分縣、宮崎縣、鹿兒島縣及太平洋沿岸各縣帶來豪大雨。（圖擷取自日本氣象廳）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
"
珊珊颱風襲日本 鹿兒島強風豪雨掀巨浪 愛知土石流壓垮民宅,https://news.google.com/read/CBMijgNBVV95cUxPWlNKUzdGQ0JkYXVpRmVhaVZlY1ZqQUhZYTZfbG5fcDFqSXhBRHJuWTN0TXJPQXBZR3hqZU5aRjFQc3FjZmpTTjExRG4tSklUeXFpUkExVG9Wa3d0cXpTVlBuc0V3YkdYRTFtUGNQY0hKem1qMWg4RFFxZkdpSVR5em5pYXFUZkF3anVUVHlYMzZtSTZtaEpCWXVSdzNmUkgzNUN6aGRORFdjeUxYSVZRMEdxSy12ZHpZV0c0c1Vvd3hZdHBsbk5TREFjNk10U2NjWXNaWDZvdVBEVWp6V29IWG9EazUwOEZvRy1feEZjU0FXQmNzQUdUeV9SaGVhUUlIVElfX1NNanZYWjdmVllZNXpTbkUzMWRYYWpjT0pSTnF5NUJUdlV2NTFnZkh1QTJTNWxhTEdVUHRfY2lzNlpkZzJzeVgtemFXTnV4UkRJR1JNVXZFOWtPLWs5TldEN2hMQkhoVTFBZG5Zd2NXLUdUcHJ3MVJWdzBWLXB1cjVjeHpUY2VPU256UUxMUFFKUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,8月28日,"珊珊颱風往北直撲日本，更有可能「縱貫全日」，8月28日鹿兒島地區出現強風豪雨，奄美市路樹倒塌，樹木被吹得劇烈搖晃，海岸則湧現翻騰巨浪。日本氣象廳28日午間已向奄美地區之外的鹿兒島縣，發布強風和巨浪緊急警報，呼籲民眾保持最高警惕，採取提早疏散等安全措施。
截至28日中午24小時，奄美降雨量估達400毫米、風速每小時超過140公里，奄美機場27日已宣告關閉。中部愛知縣27日深夜則因強降雨造成土石流，壓垮民宅，其中3人獲救2失聯，自衛隊搜救中。
珊珊29日將逼近九州南部，之後在九州登陸，本周末將抵達日本中部和東部地區，首都東京也在籠罩範圍內。JR東海28日宣布東海道新幹線靜岡縣和愛知縣的部分區間路段減速運行；九州及本州新幹線至9月1日大部分地區服務，可能也會暫停。
首相官邸的情報聯絡室已升級為官邸對策室，並設置特定災害對策總部。珊珊威力驚人，此前已達氣象廳分類的「非常強烈颱風」，氣象廳表示，由於路徑存在許多不確定因素，可能變成「迷走颱風」，加上海溫升高，又助長颱風能量，恐為關東地區等帶來致災大雨。"
台灣今明高溫飆38度! 珊珊颱風恐降「前所未見」超大豪雨整死日本| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBBbGo1RHlmTHRBZFZMRGlIcG5NVGN3QzdILWtSQjBoQVpDUTktempjbjlFNXBENnVmVmVYcFREODdWZHpnT2xTaXpkbjVfMFJLRV9jQWhBSlhqZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,8月27日,"中央氣象署持續發布高溫資訊，今（27）天全台天氣高溫炎熱，中午前後台北市、新北市、屏東縣、台東縣為黃色燈號。另一方面，第10號中度颱風「珊珊」預計將對日本造成劇烈影響，可能接續沿路襲擊西日本及東日本，且由於行進速度緩慢，可能帶來多日強烈降雨，甚至打破歷史紀錄，尤其是九州地區須提高警覺，28至29日的48小時內，雨量預估來到600mm，比現存的歷史觀測紀錄高出150%。
氣象署表示，今天水氣減少，台灣各地及澎湖、金門、馬祖為晴到多雲的天氣，環境逐漸轉吹西南風，清晨中南部地區有零星降雨的機率，而午後熱對流降雨範圍縮小，主要在各山區有局部短暫雷陣雨，前往山區溪澗附近活動需留意溪水暴漲；氣溫方面，各地高溫普遍為32至35度，感受上高溫悶熱，局部溫度會再更高一些，且近中午前後紫外線偏強，外出務必做好防曬並多補充水份。
中央大學大氣科學系兼任副教授吳德榮在「洩天機教室」專欄提到，今明兩天太平洋高壓雖減弱、因珊珊外圍沉降增溫，台灣各地晴朗無雲，紫外線強、最高溫恐達37、38度，應注意防曬、防中暑。週四至下週日盛行西南及偏南風、天氣仍偏熱，注意防曬、防中暑；與陸風輻合、清晨西半部偶有局部短暫陣雨，午後近山區局部雷陣雨發展，並擴展至部分平地，有局部性大雷雨發生的機率。
氣象署指出，中颱珊珊清晨2點位於台北東北東方1010公里之海面上，目前颱風與其外圍環流正在影響琉球群島及其附近海域，並向西北轉北北西前進，預估本週將影響日本。吳德榮說，中颱珊珊已有清晰的颱風眼，在日本九州南方海面，受太平洋高壓導引，向西北西逐漸轉北，明、後天再逐漸大迴轉，登陸九州前威力達最強，之後受地形破壞、逐漸減弱。各國官方預測圖顯示，將有2次或3次登陸日本（先登陸九州、再四國、或本州）的機率。若有日本行程，應密切注意颱風動態。
日本氣象協會警告，珊珊颱風帶來的溫暖濕空氣將陸續從日本西部影響至東部，從28日起就會有明顯降雨，珊珊颱風的行進速度緩慢，因此停滯時間變長，連日大雨可能造成河川氾濫、土石流等災害。九州地區從28日開始面臨紀錄性大雨，在28、29日這段期間，48小時內雨量估計達到600mm，比起現存紀錄高出150%；四國、東海地區則會從29日至31陸續迎來大雨。靜岡大學教授牛山素行提醒，本次大雨可能出現大型災害，甚至天災受害者會大量出現。
珊珊颱風恐在日本降下歷史性大雨。   圖：翻攝日本氣象協會"
中東歐連日豪雨釀洪災 羅馬尼亞4死、捷克、波蘭防洪｜#鏡新聞,https://news.google.com/read/CBMi-gJBVV95cUxPVkdoeDVXY01rUUthVEY5ZEc5LWh5c3oxU2UycTVOXzV3MlROT3hmbGlzXzN0R2NxWWlHZUZGdHBSbW80eVF1SXNUdXFDNHUxaHBkdXRIVFhwRm9mLUJTR29QZW9tdEkwd2tZc2Y4Qkp2Nnk1a0NyQXFfQm9iVGRpcGFxMnltYTlCc0lxbGVZZ05sQjZkZ1Q1YkJnVUtGU0tiVmIzNmVSdTBvbF9sYlpZRVcwZjVEUDhxbWhOSjFEUF9tbXpnaTEwWWprUFd0TmxHUGJhSXdoN1MwSjRaQ0t0UUExdkFxWFNNZExKN2xWNUtQbzB4SHM3VlB3Y3NXWGlrNkpOQk5BNThvdHp0d3NfZ1RJMUtTcUdYTkZZZDFJeVYxbWdlcHhfNGxKVzV3Umlvbll1VFExYWRna0haLXV4VWRrbTJHbWdPb3J2NnpocWwwbVlvNGpmOEtHbkdvVmM5MkFRbmFGVVV6ZkZ5bHJUcTBoRDRZREtOc0E?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,6 天前,歐洲中部和東部最近受到熱帶風暴的侵襲，捷克、波蘭和羅馬尼亞連日暴雨，羅馬尼亞甚至有4人死亡，捷克當局更表示，這場風暴帶來近50年來最多的雨量，至少上萬人被撤離。但全球氣候異常，另一邊南美洲的巴西野火不斷，全國6成的領土都壟罩在野火的濃煙下。
