標題,連結,來源,時間
颱風直撲 日本氣象廳籲嚴防總雨量逾整月的大雨,https://news.google.com/read/CBMiWkFVX3lxTE9kSmcxRUtBZnZmU2N0NGdPSVppcVk1X092ekhsTFZKX0JxWFQxU1V4anUyN3NKcEVQMm5YQUVsUjNwamF2NTNqRnFEb0pfWldndjlLQW5Ic0loUdIBX0FVX3lxTE5UalFuNHVuNXJpOGJ2ZGxEU2RadTdCbUdlRHhNZnNPeWotXy1pOWUxdnQwNExxNVQ5Rk5jVGxzaDQyRFl0SWp2Q1EtRmZpeHBMbFllMEhndTJ4ZU9pNmM4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,2 天前
一級颶風黛比登陸美國佛州 街道變河流、監視器鏡頭狂搖 移動緩慢迎災難性豪雨,https://news.google.com/read/CBMi4wNBVV95cUxQVDdvV081ejJfdlh1UTFUakNHSk9uclRBTU9MSC1PUGVULTlaS0hHblVFSWlkQUdUenlnU0dKWnhjNnpCNnJsTUN5UE1ZQUdSNnYtdFQ1b3NHZllaOXBCTmlwMmtqc3llNkZLT2U5XzQyRzVmN0lfSzZtT0lBei1Rb2VPUjN6cWlxT1ZnOTZlbzZ3T3JWSDIyeGM3dzRYTG95bUFkQ0VnZ19TN1JIU3FwWHdWdnVhd3VxSF9yY3BnU1FuOFo5OXQ0b3ZuMFlaR3RIenBnckU4dUh4SDIwTFVPZ0FaWUI4VW5kREFPdXVfVV9ZREJ6NlF5T0NETGlNay1mT3U0ZWxzd3RCekdvTEJITTRmdmNRUmJRdUxIQV9nVGJ6OEU2UXFrZjI0NS1CV01wdVYweXJTbHgyVnZTUlRVVGl3bElLVDNUQWlzWHZBYjFkWHdEanVNT1Nqa3JfMHBOc0tZRWdPV2E2dVpyNThRdXcteVJTNEFibHFYWndBZlE2MG1xOGJNWFJuLTU0dXczM29EZG81eWZpR0FnOHhuSjNUb05MS0dhQnQtY2xDVUZNb1RYd0JZSVMwQ013QktKemRHVWt1VmRWTWQ4SDZMam5uWEVEWFVSSGtIUlU1cFhyMjg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,6 天前
日本山形遭遇大雨河水溢堤 新幹線部分區間停駛,https://news.google.com/read/CBMiWkFVX3lxTE5pU2xpWGlWQ1c2ZlhUVE96Zm9oSk1PNjNFZ2xZTVhEaU5kUnF1SWxHUlMyVFB6MlEyS3FOSWdpTTZmdGE3cTMxaGJBb3dITGp6TExZbFc0WU5mUdIBX0FVX3lxTE9sQnVudFk3UG9sWnN5bzZjWE96WkhLMjI1bXRsand6ZGtOb3FoYmoxRzZLbGhPQ215T1lfMW5aQUdRWTdETUMzX1oxLW5mRXdUcG1tYW56ZjhzTUpRNUhV?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月25日
越南北部大雨致暴洪土石流釀7死 部分民房遭沖走,https://news.google.com/read/CBMiWkFVX3lxTE5JVU1uYjR5SGdWajNncEdOdTlOZGtCV0xaai01aVR2ZmR3dEFQNkNFNlhpN014UGVWTzExdTVWTmZSRUM3MjRYUEpGRGFvSE92OWtUX2h3bGIxd9IBX0FVX3lxTE5KNm8yUm1Fd1NSa0QxUmRXYl9mUWhmVFBuRWtob2RqT2VETFptMEtINWFZV0VyZzhUSVpJWkZfa190bWNod19qazFOaGdndkVaSmRuWWpROEpvZVhpcVdn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月25日
日本山形縣秋田縣大雨3死 逾千棟民宅淹水,https://news.google.com/read/CBMiWkFVX3lxTFB5anNoM1o0WVR3ak12T3J6ZS1fdGVVNG01bVVDU0p0cFNoVldfRmdheE5JdEp2VmJ5aTA5dVdVVFFkOUlocjNINFdNSV9FSWktdWlIWVpYQjlYd9IBX0FVX3lxTE9Lay1qdWt3RVFYYjlCX1RpY1hpaFV2ODNrMmQ5aFB5YVduT0pwMFduUGdhYjduUzZVV3VVUkYxc2EzbEFRU1REblpibjZmSlhVV1Vjc2FHVkE3T2FYcFBN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月29日
大雨致日本秋田河川決堤 新潟多處道路淹水,https://news.google.com/read/CBMiWkFVX3lxTE9wNGJNeFo0TUpaeHFWRndQYXpjbUY2OW8wQmhGVmZVOG5EOWdDbVl1eTV5LUFuU1FsdFRHdnY0V21YeEVPVmM3eTVMX2hmRUNOblBhcTNuaXFUZ9IBX0FVX3lxTFBJUkI2Y19BV1lXTTFYNEhBbEF0QlFSVWpfMVAtRWxGbk1OQkc5cWZzYWt0cFhyWE1zUWRTRFJOUldCZ3FqT3FPU2QzNnd5OWdqdU15MmlRNDl2RklNWmpR?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月25日
奧運鐵人三項／大雨影響塞納河水質 混合接力試游取消,https://news.google.com/read/CBMiU0FVX3lxTFBWU21hbHkwTERGR0Y3YlpaX1lKNnZ1TlgwVUdzVlp5dVdYeVNIYV9SQ0J4bUY4VUpfSF83ek16aWUzVGg0c2ZGSkhMalFOMy1EZnA0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,聯合新聞網,8 天前
破紀錄大雨後 日本山形新幹線部分區間提前至8/1復駛,https://news.google.com/read/CBMiWkFVX3lxTE5lUmNLZ3ZTdEhKV2VaMFRuREdpRGxxMU1QNUI5a3E2UGNNNnQzYk4yMHR1N2tfRUwyMzlLcW9FUUpvS3B1bVRJWlI1SHBiZ1dNalAzb2pydWpEQdIBX0FVX3lxTE0tRDlCMWhWX2NaNTVHbkRXcnVJVC1HeVZrNXFGaGNsbUoyV2V5YVJRZkhVLTU4bDVOLWJCaHgzM0J5dElRRzJYSXVaNkl6Zkt0b2NDZXhHX0hlSmlMbUUw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月29日
開幕「法式浪漫大雨」塞納河水質又變差！ 鐵人三項游泳練習取消,https://news.google.com/read/CBMiV0FVX3lxTE9UQVB4ZTZVMUxZWnRvd2NWajNuRzZpWW50ZldXQlpCVFU4MnQ1N2R1a19ib3V2bUNCSzhWQkQtTzhVc1dHdTMyZUJDQnN6QV91VF9JSEp4Yw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,台視全球資訊網,7月29日
印度南部大雨釀土石流 至少12死數百家戶受困或被埋,https://news.google.com/read/CBMid0FVX3lxTE5uYWdjYV85RVVRUGhhWjlvT3dtbENkMHpTcUtfQUs2R1Y0cDltT0ZxUlgtZ0FyN29BT1VFeDVtMjlxSi00TG5xbHVFVmFvcjAtYW9CblBESkdwTndaaWMzaUtsOUhtS3g3QndzT2E0Qm1YNW5QbDBr0gFfQVVfeXFMUDZqV0hlZmwzWDVxV1duUkg4VnEyeXBnVkg0aEFhMVFBd01odVhrcm9Ea3o1ZnBIQmw2cTl1SHlYbkhTcWZnYWo3U0ZkREc2S3JMaGttajRGVklaTmtldEE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,經濟日報,7月30日
快訊》雨勢再升級！8縣市大雨特報氣象署：台東留意豪雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTE90eHdfQzR1X194c1k1LTlOajNINEVuSUNXaUplb21reVFkUERoYkZmX3YycjJXU3V0VVZuejNkczJIa0xxeXNpQmlHNEZmUjFhZGNhSTNHeGh4dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,7月27日
凱米過境花蓮東大門夜市滿目瘡痍 連續3天暫停營業,https://news.google.com/read/CBMi3gJBVV95cUxPbGZCaThyRWRSdGJhOGtxb0RXamtDajRSWE9CSjU0U2JQVWFvOEhVZ2p2LUxzQnY5ZFV4Q2dMUkJOOEZFTmtvUkNLODA2dTBnQ21Vb2JIdFVWd1BhczB4WU1XZ25HTnpNZ2V3YkdzMXdVZXVBLThaalZXRXZIODMzWkVzaXd1S2xiTGZLYldnMEtVeHVFTTNPYTNraXRTdGduVFhyOG0ydUFYNTRRV0RQY3YtaDJxOGhHNEFOVEhxUWRXcHFzX0JpalZOQVJCTVNGTXNBR3BqOHk0QkQ4cHRkZlhBYkQ5YXU2anUyMC1OZmQ5d1JWQVloV1FGdml5TzlneTVNWm5QOTdRY1c4ZUNHb3FyTmxmR3k5cl9ROGFxWkMtTEoxbWl0RnhFMVc5dzNKUG1UZ3lyUTNZeWY1Y1d0VEk4dVNNYkp5em02Zml2OUExbUs3V1otZUdNU0hDZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Yahoo奇摩新聞,7月25日
低氣壓靠近水氣略增嘉義以南局部大雨山區尤要注意| 生活,https://news.google.com/read/CBMiWkFVX3lxTFBZRVNieTFUbExETDlEYUNwM2dIclBQSEJLdlVXSWN3LXVoMnN0YWJ4dGpkWDZKSl9RVzFYb3E1TUo3YVVaUlctM245OVdrQ1BsZnFxMzhscmJTdw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,6 天前
格美颱風| 豪雨炸南投貓羅溪暴漲淹水汽車泡水| 國際 | 2024-07-25,https://news.google.com/read/CBMisgJBVV95cUxOVnZjdDRlNFY2RzlvOEVESVZYUzNLZXB4TFhwV3FLeFB4dXVkaFUyZlpKMF9LRWczNnJDdW5vcUJNc3NIeVNwZVR6ZzFpU2dKNnNvWkhtRXR5ZlhhbEs0SVlMekRMdzliX1ExbkxlSzJTUXpHd3I5aXdZRUU3ZmprS1NQSi1uWFV6QWtCNWtubVVEd3FrTDRnN3N2QXB3RDN0SjNVd2RzMy1lMTM2T3N5eXNFSVRoanVwX0RsS2dKSHFKLXFsV0FPN0JPMlppb2lLZjRMSVlraVdSM1FxR1YxSXh0X1hKTVN6bWpWNXJDb1J6S0Q1Ml84WHE5ZWhPaGw4UzVhZ09XS0ZwQnhYR014MF9oVExmb1duNWQxeVYtMDFlVzJYZlNjRVVFWG93VXo2ZVE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月25日
快訊》15縣市午後大雨特報！氣象署：新北、桃園大雷雨持續一小時| 生活,https://news.google.com/read/CBMiWkFVX3lxTE92UVZWT1hIek1lNDY5ZXU1Um5IZlNoaXo1d2I0aXkxUW8zYlNSaTJaNThLb2ZHaXdMdERQc2VrWWRaSUJRSUd2a3poUTloay1ueVZtWlc3QTVOUQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,5 天前
嘉南5縣市恐有局部短延時豪雨花東北桃高溫拉警報| 生活,https://news.google.com/read/CBMiWkFVX3lxTFAwN2JVTU1YWGtRdVBmaV9iUVpxeHNpdU1sczBLVnJHeTlnc3dvZlh3LTRTMm1kTzFtc2o3eU5WaHhVeE8zTTBtbXlPeHhKX1N4TzlKMFZGLTJvZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,3 天前
衣索比亞南部大雨造成土石流 至少55人罹難,https://news.google.com/read/CBMi0wJBVV95cUxOblRBUHVSNVMzeURWbHh3UGlnZGNzMXA4bkY0TXlCWU5fT01iX09NRUcxWjJRUGZmaFBqRVAyOVRwcHhRNjRlTDREZGp0WHUyUEpPanh6UGpSU18wN2tDWFRPc1lCYUdJWnYxR2FGZWpNSUVuMC1Ca1dtUmR1Z1I1VkFjTEthQnNseFA3cEVoY2dreW5ZSjdfRDdEbGVZQUhzaHFVZVpmZXM0cnhhRmdPNGl1Y2I3cktzTUdfZ05Xbmc5dVRYc2xDVld2VndWYlNRQkpfUjdTZUJFTFZUZ3FfQWdUbXVTUk9yN0docXVoQUpNRmVtdjJGcDNFZnlFYWRaZm1IbzAtNGYzRXBSR3hReUVJSFZqS0ZRUmtSNzZVUW41VUtjUTFIUnV0ZXR1M05KZWJacGtPcXZWeE5PY3p4Z01ya0loMGlrQnNVdE5NY05kdlk?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,RFI - 法國國際廣播電台,7月23日
奧運開幕／開幕式磅礡大雨不減熱情 民眾觀禮大讚成功,https://news.google.com/read/CBMiU0FVX3lxTE1yM24tYzE5S0Y5MFZGeVdwa3pYT0tpRUpxc3dMVjJ5NGxKdXl3VF9TYkZ2WXhnY2J5dmUwektCRndEVXlRS2ljTmszQzNWbnl5eFZV?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,聯合新聞網,7月27日
快訊》低壓帶挾強降雨！氣象署：午後9縣市大雨特報| 生活,https://news.google.com/read/CBMiWkFVX3lxTE1IWlJfazVuazk0REk0aXNkTXMxdmdoMFNEN0NaQUVUWnhvc25veXU5ZHAtdWo1dTV5SklCMkw0YnBTN2lTTW1DM21BMVE4VEd0SnVLeUlTY3pvQQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,7月29日
北海道大雨河川氾濫 部分地區「一天降下整月雨量」,https://news.google.com/read/CBMiTEFVX3lxTE5uZWZna01iQUdRSXhxOXlqX1FvZVZuRTFhWHBfazdQTWJUR0xoeHcxZ1FvNmJpNUlNUVVuOFF4SjhNN1J0aUZqUU1zOVY?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,風傳媒,7月24日
印度喀拉拉邦大山崩! 151死200多失蹤持續大雨阻撓救援行動| 國際,https://news.google.com/read/CBMiWkFVX3lxTE1OejBvdkF4MWM4ZTNBbi1XdTMteGJPVGxMM2hKLVhCVkJNVWl0bXFySERTMGZJQ3U4Vjc0dUJsREpKVm1zaVRIN2VIcGpQQkNqQW0xNkN6ODh2dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,7月31日
快訊》大雨特報！大雷雨狂轟南部3縣市 雨勢持續2小時,https://news.google.com/read/CBMiWkFVX3lxTFA3djU5OHBpVk5US2ZPN3pRVEVoY2F3TWVVTW9zSUZJbzd0b0hvaEtMSTRtRUxQQkY3MkU3M2VsMUNVOTNXM1pCaS1PYkFwQnRMR2ZvQnJKc1YzZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,Newtalk新聞,7月26日
烏干達垃圾山坍塌壓垮民房！大雨釀災 數十人遭活埋挖出多具遺體 | 國際 | CTWANT,https://news.google.com/read/CBMiT0FVX3lxTFA0Rlp1cGJCS2VHTXVJZHh5am9tQjNpeXNRZnhweGdIbU4tVlZkdmdxMHAxWkNLbjM1U09FVWxHQ3dDelNNdTltTnpHTmpKcVXSAVRBVV95cUxQaDJjLWljN19URW1WSUt6ZndJSTN2TGdrNGxKTDJaeFdxV0trTl9uZkxfOS1FOERCX0hUZWswdDNMdmlHUm9zY2lsdjFnUzRhVV82blY?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,CTWANT,昨天
巴黎奧運開幕下大雨600萬隻大老鼠衝出來跟貓一樣大 | 國際 | 2024-07-29,https://news.google.com/read/CBMiwAJBVV95cUxQSnlvTEJSVzhMNE1PTHBzRVNpb1FtU2pUbHBiMzJ6YXpFX0l5azdXMFcySzQxRlhfWnE1eUhmMVZzUWlFM2dmMUdtdWRlUVFSeDNCZ09BUE5GN2ZUam82SmRtbjdpSHpZZnVSNXFQaGdrX0dubGU3ZUpGQWRoSXBhZ3NnaEZyaHpfMVg5emlTazN3MUg3ZWhnbC1mUUJyT2R1NDNDTkpQUjdNNmYwYjd5SS1ETXBTOEFPaThZT29iZk03ZmRIQnA1SVkzZkhTQU9tMExsbDY5MERhUFRSb01Dd0VGdDlsbTg1WDItTWJKMHBnUUpoS0QtX0haMkppdERmelVjX2Z6eXgzRnNNeTRFOVhhQzdOdlBzS2U4X3hHRzV3YkZQMDhnSWwyYzBRYWk2Y1ByWlRnd210U2RMdDZwMQ?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,光明日报,7月29日
AUKUS雷聲大雨點小？澳媒：美國預算產能跟不上，明年頂多生產一艘新潛艦,https://news.google.com/read/CBMiTEFVX3lxTE80RzJuX3Bic2JicnFxc3NBUDluV1E5Rmp2QjJBaldwWUpCc3RaM3hMbDdHRHBfMjdiNC05X0FqSzhpWTIzSWJqMXFJSmw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,風傳媒,7月16日
巴黎奧運開幕》塞納河突降大雨，5大難忘時刻一次看,https://news.google.com/read/CBMiTEFVX3lxTE1LQnNQV1NMM0lFM1NYbUJuSUluMml0aG83SFJ3aF9yc2dBQ1RJRFA3Uy1KVkk3Sy02V280cnJ6SUl0anVFZ0pOVTVvLU8?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,風傳媒,7月27日
巴黎奧運》全球媒體辣評「大雨滂沱中的奧運開幕式」,https://news.google.com/read/CBMiTEFVX3lxTE1kdlA2MU5qLTNYc1I0dHQyRFdFOU42SENCeW5xZFNybkp3dGdGUDJWNWU4aXBZWGZ6cHF5TDZDdzJUQUJkSkZya0NRTEg?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,風傳媒,7月28日
巴黎奧運／大雨逼出600萬隻巨鼠 「跟貓一樣大」巴黎街上亂竄,https://news.google.com/read/CBMiX0FVX3lxTE9FN3FaWXctZDItbng0UzVFZHhiQkVxZTZfWHVLZmVlek9NZ1NYdkcxTi1jb3BHQUF1ei0wa2Q0TUpuR1doeDVHRnZnZ1NUWEw0dVhCbWM5bUl3YTFSZDJv0gFfQVVfeXFMT0U3cVpZdy1kMi1ueDRTNUVkeGJCRXFlNl9YdUtmZWV6T01nU1h2RzFOLWNvcEdBQXV6LTBrZDRNSm5HV2h4NUdGdmdnU1RYTDR1WEJtYzltSXdhMVJkMm8?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,三立新聞網 Setn.com,7月30日
日本山形縣狂降破紀錄豪雨！2死3失蹤「淹水2層樓高」,https://news.google.com/read/CBMihwFBVV95cUxQZ2tzYS1DSTF6SDFia1lCZ0Y2aUVCUGlFSE56RjlKSkMzQ0JhZnNwUEdlQzlvU2x2VUd3aEFyN3ZjakVhekY0RlN0UDNXWjNySXJMR1NjNW5xaUMxWnVXUmVjS1JaVzdJN29YOUhSbmFZWVZJXzRxTlJyNUhteEFHWVFBbTFOSlE?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,壹蘋新聞網,7月27日
暴雨預警｜天文台：香港廣泛地區或大雨 市民應提高警覺,https://news.google.com/read/CBMiigNBVV95cUxQMjBHb2FVYnhJOTBTbm5qZVBWakdJeUVaQW1xRDNoaFU1VnZxb2lkQnZOTVZMMVlNZmIzYV9sR3lvcXBxYWVuUWl1M2kyV3hFekJkNndfUDlIMkpSbEg1LXJCNm1FMzBBSktsMXhHaVBNR1gzR2xWbFVYUDVZbWVhWC16NEhZM3o4S3NXc2RnUXlnNnZna21ocnVNNWxkZUFyc3F0ZzhVdTBFSXNlNWZhY1hlVTRpSXlReVJ2c2I1NWtOblpsb3RZQndnQkM3dHIydWRkaTY2NjhwSDhGMk9WOTMxWnQ4bUlxZnl4NzM4cHZvZFNMdGJEUHJreUZYb1A4d3pSa2t0anZQY3l4a2lCS2duQWRWSlo3Q1I0Z1FheWt5akYycnREYklMc0c2UnVzdzJRRjFKUXFrenBXR3JDaEREc0ZxdTdLMlZLQWFIVVVNb3BwWXVuNHEyakVXYlc2dEtibWRzeUp3alQ5SXBXdXJJX3JBUExDUVowTEZqLVhsUU14M3pPeThn?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,香港經濟日報 - TOPick,7月17日
日本九州大雨新幹線停駛 當局籲24萬人避難,https://news.google.com/read/CBMi7AJBVV95cUxNN3BkTkJ2SWRfZGJHY1dfUTlKZjl2UDd5ZHZXbElibUxPaGR1ZHBaSVJPQzdyNVFuc05YUE90YkJ5YzZiR1BfcFN4MjJ1aWRxcEdEVVBPUU5OakR6YnhqX0dmS2I1dEEtNWkyNlRqZ2M4Qkk4cm9ZQlVYWUFzdHdobFgzdlFONW5rT1lrSFVWU2hOUnZiM25BTGV6WDFFaEYyeE9DZENmSzVsV2lJNHdhYXNSdmh1UkY2Q09VaFFvdHRRNkxPQ3NFN1pzSmRHYnNvZkpJRURSbzlLeXR3LVZTT2U0OWc1TFpNN3I4d2kzZTdsX0I2VHROQXFwdjQwMDRsOUh6amhEOU1aMnVlbUhBb0JNQkdKZnJOOXZtNk1mMzFOeGEwU2lIUnlsTy00TzdiYWlDV2dtWjI5NXFxZ2hFRVY4WGYtNFQ4dDZPMy00M0tGNkJ6SGJNNTA4dnZmM2hJVlliOW9Td3FjaldO?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,星島日報,7月15日
