標題,連結,內文,來源,時間
影／陝西暴雨成災！公路、橋樑遭沖垮釀傷亡,https://news.google.com/read/CBMiogJBVV95cUxNLU1pYzBDZy1qS3QwRUcwTXJBUHZCQ0hIdU5lQld6elRTRjNHNTFWaUhJUlBPS1Rqajk1T3duMmxBaVJQYXJTNHJPYmlRTHRhbC1KWWpWaVRtVFFuWTd6eHF5ZV9zQm5vQkNhaUhfM1JTUWlhd0QyZk8xQWJ6Z3F3ZUNTaXctdFkyWm1XZFlJS2xBekhJMFRHZHA3b0lsZ0ZvZk9CQ3QwQ2NibTRfQWFEU1E2V2J0S0VaaldFUUFUT01TeVREOE1RNDNaZlhSQVhVWHo3U3M4QUJGMkpvZFUxWEVBenpuWnM2Z194ZXpaXzMzcTBPVXFTX2t5MVhCLV9HWHZ5SEgydWZvSVlxOWRtcDZJTGYzajhCN0FLdUZ1MnhBZw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"[NOWnews今日新聞] 中國陝西省連日暴雨，多條河流出現洪峰溢出堤防，災情四起，這幾天寶雞市才單日降下超過一個月的雨量，遭山洪與河水倒灌夾擊，結果20日又傳出同樣位於陝西省的商洛市柞水縣，境內突發暴雨山洪，導致高速公路局部倒塌，多部車輛連同駕駛掉入河中，至少造成11人死亡。
綜合中媒報導，19日晚間8點40分左右，柞水縣境內突發暴雨山洪，20日凌晨4點多，丹寧高速公路水陽段山陽方向K46+200處嚴坪村二號橋局部崩塌，中國武警商洛支隊出動兵力緊急搜救。
截至20日上午10點，已找到墜河的車輛5部、罹難者11人，初步核查顯示，仍有近20輛車、30餘人失聯，各項救援工作仍在緊張進行中。
商洛市氣象台20日上午10點發布天氣預報，預計未來24小時，該市大部分地區有雷暴天氣，其中柞水縣北部將出現暴雨，由於前期累計降雨量大，後期仍有分散性短時暴雨，恐引發內澇、山洪、山泥傾瀉等地質災害，提醒當地政府及人民，做好應急準備工作。
中國官媒《央視》報導稱，災害發生後，中共中央總書記、國家主席習近平高度重視，已做出重要指示，要求全力搶險救援、千方百計搜救失聯人員、最大限度減少人員傷亡、妥善做好家屬安撫等善後工作，強調目前正值「七下八上」防汛關鍵期，各地區和相關部門要高度重視、壓實責任，加強監測預警，強化巡查排險，落實落細各項措施，切實保障人民群眾生命財產安全。
中共中央政治局常委、中國國務院總理李強亦做出批示，要盡一切努力搜救失聯人員，盡快查明原因，妥善做好善後工作，並抓緊排查處置險情，嚴防次生災害。要舉一反三，進一步壓實各方責任，全面排除各類風險隱患，做好災害事故等防範。
更多 NOWnews 今日新聞 報導
印尼不管了！中國羽球新星國外猝逝後遺體放兩週 中方漠視無表態
中國三中全會閉幕 星媒專欄：關鍵在於能否破除「垃圾時間」疑慮
一眼看穿「習近平中風」是假 矢板明夫：真出事不會這麼快有細節",Yahoo奇摩新聞,7月20日
快訊》雨勢再升級！8縣市大雨特報氣象署：台東留意豪雨| 生活,https://news.google.com/read/CBMiWkFVX3lxTE90eHdfQzR1X194c1k1LTlOajNINEVuSUNXaUplb21reVFkUERoYkZmX3YycjJXU3V0VVZuejNkczJIa0xxeXNpQmlHNEZmUjFhZGNhSTNHeGh4dw?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"中央氣象署發布豪雨特報，氣象署表示，受到低壓帶影響，易有短延時強降雨，今(27)日台東縣有局部大雨或豪雨，苗栗、花蓮、蘭嶼、綠島、南部地區及新竹、台中、南投山區有局部大雨發生的機率。
氣象署提醒，民眾應注意雷擊及強陣風，連日降雨，請注意坍方、落石及土石流，沿海低窪地區請慎防淹水，民眾應避免進入山區及河川活動。",Newtalk新聞,7月27日
北韓豪雨成災 金正恩「饋咖」探災、座車也泡水裡,https://news.google.com/read/CBMivAJBVV95cUxOYW51SmltcTlwUGJyaUpHdURmc3JjSWRrcHljODlvalVaTG1xa0YxN0dhM2hPZkFNd1YxLTZaQW9hY045MmxnVFhYOERwcWFMZFZ3WnpJMXpPNkFBQl9UYy13NHZETGtKV3RfTmVQMzhQSDl0SDdtTnNvZVl1ZFVSb1JSaU56bF8wckFBREQ1cEcxRUFOZjBsTHI3Um5jS25wMmd6d0hjZldENUlSQ3hfX3gwZm5zSkJZdVB4cWRVOXJZdFdKUXRoOG1YcDRIbUhLWkRNWVgwZk5Fc0xYOGRDc1NlZU9SR292Z2l1SEZxTHJpTzY4cXNjb2loMlFJa0hwUzNfNGFEazNaVlhhaFJLd2R0aEpLcXJzakcyZC1WOUZjd1ZFVHhrUEQ3RnduRW41OGtDQmI5T2NNV3du?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"北韓與中國接壤的新義州週日（7/28）暴雨成災，北韓領導人金正恩親自前往災區巡視疏散居民救援作業。和一般民主國家民選官員最大不同的是，金正恩探災並非穿雨鞋涉水深入淹水現場，而是坐在椅子上翹腳觀看。
北韓官媒朝中社今日刊登一篇金正恩前往新義州市淹水災區探災的報導和多張照片。據報導，當地有約5千居民受困洪水，北韓軍方調派10架飛機，來往飛行20多次搭載約4200名居民脫困。
從朝中社公佈的20多張照片可見，金正恩的座車一度從高達輪胎的積水中駛過。他在機場視察運送災民時則是坐在停機坪上的一張椅子上，顯然不堪久站。
金正恩在現場讚揚軍方的救援行動，同時也嚴厲譴責地方官員和相關機構事先防災不力，還批評官員與黑幫勢力勾結且私相授受。
更多太報報導
湖南暴雨災情不斷 土石流釀15死、8村失聯
去年退出一帶一路 義總理訪中「重啟」合作簽3年期計畫
警告美國勿在德國佈署遠程飛彈 普丁：也會對西方佈署飛彈",Yahoo奇摩新聞,7月29日
凱米颱風減弱仍肆虐中國 湖南暴雨山崩已知15死 多地成水鄉澤國,https://news.google.com/read/CBMinANBVV95cUxPcHJwMEpLX0J6M2hQWkNlVG9xMlZiREFOM05SaWZJSVVIYThHN2tpRUtlVnNYS1BKZDZZVl9jT0JGZzlaVXF6Z05fVVNSdzRSOHYxbXhQcExVTjNpZkVqSGJmVUpuSHkzdmtNMXUwODA4M19jT3B1WkdpWEM5TVRKdmpjdkpCZXA4MzBIVkJqVFQycDJidkpHSXRmWDBIc1BDMktTQlpMT1kwb0dwZF9PWUY2SEV1N0JvbjBCdG1oMWppRWEyZHdQcEdEeUJLRWFPTjJ6MkpfeG9OWi1IUFdfRVdzQmpqbUJQWjFMamstUWt2clRBVlpzbVdtWUlKVEFxRXFZZnJqbXpqV3l6VWRBTHBOVTk2a3lnSjZ1ODdBT0ttb1lSR0V3aWJyQk1wVW1vZjhCZTRET0FERnhveGtuZ3NUaFRnQTdZUmNub0dpTkx5Q2tJaW1yckZaNElLVk1MLVdZREZDNFAzNmVMY3FMS2FpeUh2NlA2S2xmNGF6OExYMnZaNm5TelRELWxuR2Y4RFROTmprbEVsMDlp?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"凱米颱風先後肆虐菲律賓與台灣，接著登陸中國福建，雖然已減弱為熱帶風暴，但環流仍帶來狂風暴雨，南部與東南部多地傳出災情，不少地區停運停航，交通受阻。福建逾62萬人受災、臨海150萬人撤離；央視7月28日畫面顯示，在湖南衡陽市，暴雨引發土石流，已知15死6傷，部分民居被沖毀，300名救援人員緊急進駐。
遼寧瀋陽、湖北武漢、江西贛州、廣東梅州等，洪水泛濫成災，住宅區、稻田已成水鄉澤國。中國氣象部門警告，28日至29日凱米繼續北上製造強降雨，相關地區仍需防範注意；而江浙一帶高溫天氣將捲土重來，主要城市如南京、杭州等高溫將上看攝氏40度，但南方高溫天氣的範圍將縮至近期最小，而新疆高溫發展增強，需要注意中暑、提醒民眾降溫。
Yahoo字典精選單字：肆虐、災情、捲土重來的英文怎麼說？",Yahoo奇摩新聞,7月28日
韓國首都圈連日暴雨提升預警 仁川機場25航班取消,https://news.google.com/read/CBMiZkFVX3lxTE1nRjBLS1RyUElFV0owcG1fUjkwTk43dG9RalJMRE9XYjEySWhEamxtLTBSUWlDMXBoQWJWNVg4dDV4bnREQktldnZnTHdrb3NSNVZUY3Jhamo4Ui0wQjY3MEZoNXpLZ9IBa0FVX3lxTE40Nmk3WFR0eEhkOGZLR3U4S1JvVEdZOWtMSmNtSkp2TGk1cldzUVdlSGsza3ZiMENrdWF1SGF4M3dyWTNBMWg5Y1RkMXU0SDZBUWM4Ylo0cFlHZjV5ZEdOVGEzdkN0LVI4WTY4?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


南韓中央災難安全對策本部今上午7時50分提升緊急應對措施，將暴雨危機預警從「注意」上調至「警惕」。（美聯社）
黃邦平／核稿編輯
〔即時新聞／綜合報導〕南韓首都圈為中心連日下起暴雨，首爾等首都圈和忠清南道等地區已發布暴雨預警，中央災難安全對策本部今日上午7時50分提升緊急應對措施，將暴雨危機預警從「注意」上調至「警惕」。
綜合《韓聯社》報導，韓國行政安全部（行安部）在忠清、慶尚地區發布暴雨特別預警之後，昨晚7時30分啟動中央災難本部1級緊急措施，將暴雨危機預警從原先的「關注」提升至「注意」。
請繼續往下閱讀...

行安部長官、中央災難安全對策本部長李祥敏表示，將要求相關部門、地方政府動用一切可用資源，避免暴雨造成損失，同時囑咐有關部門和機構，應加強對安全薄弱地區和設施的檢查，採取疏散、管制等安全措施，防患於未然。
據悉，中央災難安全對策本部緊急措施依照嚴重程度共分3級，第3級應變是最高級別。各種災害危機預警共分4級，從低到高分別是「關注」、「注意」、「警惕」、「嚴重」。
另外，仁川國際機場公社表示，截至今日上午8點，已有25個國際航班取消、4個航班返航。停飛航班中，原定於凌晨3時從仁川機場出發，預計約4時5分抵達中國江蘇省無錫的東方航空客機取消航班，其餘24個航班則提前取消航班。
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,7月18日
南韓暴雨不歇 仁川機場24架次國際航班取消、北韓未通知南韓逕自開閘門洩洪,https://news.google.com/read/CBMi2ANBVV95cUxOR2FZSWExYmNZUG8za2ItQy1WU1V3RndnVWoxYUNnSGpwd0ptLW1RcmIzMnY0Yno0aTcybmFUZkdCM3NIa2RGckx4RUZDU01uUVp2dlFaZVdibk9hUkMyanNMcG1QUkZZQ3FvR2h3RWhjTXRTMlRtZ0Yzb2pzbkVRYWRySEJoSG9hSWNfX2ZTY3E3T2hNYk02VDJNeFRCeEl4VUtCRTJZaTNDMmFELXkxY0E0SzNuSGdtMTRPVDkyYjd0eXRYRHE3SVNZWUN5T2xvN05WVHlWR3BibjAzVHFMWTBZN3ZWR1VmcWFaVVZFbVI5UlFIRWUwc0hraTdocC0ycGRZTy05dlU2Sktsb2p5Q0g2SFFFU28tODhuV3l3ZnFsX3BiaHlxYmdLYjQxNWtxYUUzenktb1pkSkEzOXlDbTdOdUtqS3I3QnFYQXh5dUNnZC1IdzJIeEtlUW1XU2xrSnZhZGRUMjNxdmxFRk5nby1zTkRZYVpkMUFnaXl1YjY4M2lHWjVqamtTeEJISExPRkRVUlVZYzBqUkhYTXBqMWp5dEVZeFNGajNEMlhoTDlLemFscHhjWjVsSXQyYms5cUZYbVhFNGVLZ2lrY2htN0J0WXpJY3p0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"包括首都首爾在內的南韓中部及北部近日豪雨不歇，釀成洪災。南韓氣象廳預測，到了明天（07/19），最大降雨量累計已超過300毫米。暴雨導致仁川機場今天子夜至上午8點間的航班大亂，25架次自仁川起飛的國際航班取消，4架次航班起飛後被迫返航。
南韓氣象廳16日即已發出大雨警報，警告民眾將有3天強降雨。這波豪雨實際上已持續逾一週，不但造成首爾地鐵一度停駛，數條公路封閉，多地釀土石流，民宅泡在水中。
路透社報導，南韓政府今天已下令住在河岸附近的中部地區民眾立即疏散。
韓聯社報導，南方北太平洋高壓和北部大範圍乾燥氣流接觸，形成強勢降雨雲帶，加上中尺度低壓發達，導致韓國中部地區持續暴雨。氣象廳今天（07/18）指出，南韓中部迄今晚的每小時降雨量將介於30至60毫米，最大降雨量估計將超過每小時70毫米。
到明天凌晨，滯留鋒將隨著北太平洋高壓的收縮而南下，且西南部海域將再有中尺度低壓經過，南部地區恐出現每小時20至30毫米的降雨。
根據氣象廳預報，中部地區截至19日最大降雨量將達150毫米，其中首都圈、江原內陸及山區、忠清、湖南（全羅道）降雨量約30至100毫米，首都圈及全羅北道更可能達到150毫米以上。
南韓這波雨勢估計將持續至21日，22日後鋒面北上，除了首都圈和江原道仍有降雨，南部地區將轉為高溫天氣。
南韓洪災也意外引發與北韓的新一波齟齬。南韓統一部官員今天表示，上月28日已要求北韓方面在打開兩韓邊界臨津江的黃江水壩閘門前，要提前通知韓方，但平壤當局仍於9日在未通知的情況下逕自開閘洩洪，對此深感遺憾。
2009年9月，北韓在未事先通知南韓的情况下打開黄江水壩閘門洩洪，造成在京畿道漣川郡一带露營的6名南韓民眾死亡，21輛汽車被淹。
南韓國防部則警告，北韓可能利用這波暴雨，埋入更多地雷，讓它們順著洪水與泥流進入南韓。
儘管每年7月是南韓雨季，但今年這波雨勢過於猛烈，南韓總統尹錫悅說，應將視為氣候變遷造成的影響。
更多太報報導
范斯正式接受川普副手提名 演講鎖定搖擺州「職業政客害慘我們」
華爾街日報向川普解釋：台灣不只晶片重要 還攸關太平洋區域穩定",Yahoo奇摩新聞,7月18日
河南極端暴雨 南陽單日雨量超過600毫米,https://news.google.com/read/CBMiZkFVX3lxTE1kVXljN2dYRWxpbWxwcGlYdHBsdzU4czFya2J3Z25FN3M3NnZneVNITHcwaW5iZEh0bHU0aXZMREUzQTUyWm5aNE4wOWYteEZGZnZVc0xGVVcxX2h0Y0JfbkVGZTZzd9IBa0FVX3lxTE1kZEV5U2tuQUZrcWR5aHpOYUc5d0FmNUEtTTFyb2lYckpnRnNBY255V0FjVUVZWUk2d21CU3ZUV3VVU0MwQnZqOEVLZEQxQU1MTFo1NDFycURUM2pmSG9mREszVVhvYkFqdzJz?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"


中國河南省連日降下極端暴雨，南陽市出現單日683.5毫米的破紀錄降雨量，多地淹水嚴重。（圖取自微博）
〔中央社〕中國河南省連日降下極端暴雨，南陽市出現單日683.5毫米的破紀錄降雨量，多地淹水嚴重，民眾說從沒遇過這麼大的雨。由於暴雨天氣仍將持續兩天，多座水庫持續洩洪，災情恐將擴大。
綜合央視新聞、界面新聞等陸媒報導，昨天迄今，河南西南部、中東部降下極端特大暴雨，南陽盆地出現災情，不少房屋被淹。河南省氣象台今晚6時30分發布最高等級的暴雨紅色預警。
請繼續往下閱讀...

中國氣象局指出，16日淩晨開始，南陽盆地遭遇極端強降雨，南陽、周口、許昌等地出現特大暴雨，最大降雨量出現在南陽社旗縣大馮營，若按昨天3時至今天3時統計，大馮營降雨量達到683.5毫米；最大每小時降雨量高達148.3毫米，大幅打破紀錄。
根據中國中央氣象台，15日9時至16日8時，中國降雨量前10名，河南就占9席，其中，南陽社旗以418.6毫米居全國第一。其後，河南社旗氣象站數據未再更新，氣象局回應稱，當地觀測站被淹被雷擊，正在搶修中。
河南省防汛抗旱指揮部早上8時針對南陽啟動防汛一級應急回應。
氣象預報顯示，未來2天，河南南部和東部仍將有暴雨。截至上午9時，河南已有7座大型水庫、22座中型水庫出現超汛限水位（超過防汛期水位上限），相繼啟動洩洪。接下來，災情恐雪上加霜。
網路影片顯示，南陽多地淹水嚴重，許多路段積水深至腰部，社旗縣淹水最高達1.5公尺。一名店鋪老闆因為貨物全部泡水損失慘重，他表示「往年沒有見過這麼大的雨」。
河南6月間才熬過大旱，現在又降下破紀錄暴雨。
家住在社旗縣三里橋村的鄭女士今天說，目前正在遭遇大洪水，已經有大半個村子在水裡泡著。「村子四面原本都是田地，現在玉米以及蔬菜類的農作物都在水裡泡著，損失嚴重」。
中國河南省連日降下極端暴雨，南陽市出現單日683.5毫米的破紀錄降雨量，多地淹水嚴重。（圖取自微博）
不用抽 不用搶 現在用APP看新聞 保證天天中獎　 點我下載APP　 按我看活動辦法

自由時報版權所有不得轉載© 2024 The Liberty Times. All Rights Reserved.
",自由時報,7月16日
印度西南暴雨釀山崩、橋垮 至少123死、上百人仍受困,https://news.google.com/read/CBMiywJBVV95cUxNNWg3LS1ra3NrXzNyQ3gwbzZ2emdJNHowZXJkWlVmRXRRTDQ1UlI2dUI2eDg4RkhYWWZMczFTY3dDaVN1cnFpczBQZXJlVkFmTENZRE1GRFBhaE5aQU41SjlMdV9wQ0lmSWUxNXBPVy1uT205dWdUUHF1Y3RyTEltQ2RCR0c0SFRTZF9uLWpYLUpUdG5tWmQtMmhMZHFYRXNmN1ZRbnVKYk5ybE8xc1hZd180ZkFTOXJIRl9yOGl1dm5mQ2NraGE3WmhoaTFLVVJMOGdmcnV3S2hOcEZ4Q3JPdjdwTE84eDVQNkpmc1piTFNSTTBaRnpvZ1V0ZGdqUzFHNUpUQXJZbFZUU2FYNHo0T01DQjhNRlB4WlZfVzRGOXQ5SmxGZGRNOTctRDlLQmx1VHBLOWphNFZRZ1dVUDRxRlgtb3VGTkRkbGs0?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"印度西南部克勒拉邦（Kerala）瓦亞納德縣（Wayanad）7月30日凌晨因暴雨引發土石流，泥水與土石傾洩而下，茶園和村莊受創，已至少造成123人死亡，受害者多是茶園工人與眷屬。30日畫面顯示，黃色泥水沖垮橋梁，火車在超高水位的鐵道上行駛，多處房舍被淹，大雨仍持續降下。
當局部署超過200名軍人，並出動直升機救援，官員表示至少3000多人平安移轉至避難所，但強烈雨勢與重要橋梁倒塌，使得救援行動十分困難，估計至少還有百人受困，但外界難以到達，擔憂死傷人數可能還會上升。此次土石流是克勒拉邦2018以來最嚴重的一次，該年8月的洪災奪去逾400條生命。
本次災害過後仍有大雨預報，多地均處於戒備狀態，14個地區中有10區學校關閉；總理莫迪則表示聯邦將協助救災，罹難者家屬可獲賠償20萬盧比（約新台幣7.8萬元）、傷者獲賠5萬盧比（約新台幣1.9萬元）。瓦亞納德位處西高止山脈的丘陵地區，在每年6到10月的季風季節期間，非常容易發生土石流。",Yahoo奇摩新聞,7月30日
凱米重創亞洲 菲律賓暴雨成災 水深及頸 馬尼拉進入緊急狀態,https://news.google.com/read/CBMijwNBVV95cUxNN3B1R05DYW4wSUdmQy14bkQ0cGJHZVFYYlpBZnNzRjRJTk9yb2tkbDZRYS16bVBuSEhvWmN0MEhKVmFvWHJVdXV1V2VSU1JFSnpFLWFRams4ZzdfdWh4RjMtVDRwZkhaTEVrMG1OMm15NFFHanNDMWFVVHVyVFp0N0ZIVE5iT1ZucmhPZFN4SzFTY2d3ZDh5OWZJbXJ2VnM0SEp3SUpBeDZYX2pDUGVQZ0t3aWp3Q21qQmdkdGw5YUxvM2hteGZ2QlU5SjJrcFZIVVZoX09BejlKRjdjV1o3bllSSDhIZjQzeDgwaEZvUGdid19kU2M4NWlxS1NfQ2EteDJsdnNVRHAtWUxWdlA4dThzU0FaOGJHdi1zRF9HRDFLenM5UVVYU0xoWEdtaUdkWVpza3VTVFV1ZDM5QnNaTG9GQ2xvcFB1ZlA5QlhBMHN5ZHNfdGFYLXc3aWRuUlB3TkdvYnpGc1h6cWUtTmx6d2U3czJldkg5eWRJMkJMczdGYTJwUkk4anFjZjdrSG8?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"凱米颱風肆虐亞洲，為台灣、日本、菲律賓等地帶來強風豪雨，菲律賓首都馬尼拉及周圍城市暴雨成災，當局24日宣布進入緊急狀態，有些地方水淹深至頸部，已造成至少12死、逾60萬人流離失所。現場畫面可見，民眾試圖穿越水深及腰的街道，或在水中推著自行車前進，房舍幾乎滅頂、車輛受困洪水中，與此同時仍不斷降下大雨。
菲國逾百架航班宣告取消、金融市場也暫告關閉，總統小馬可仕下令協助偏遠地區救災，大馬尼拉地區16個城市已要求提撥緊急資金。每年平均有20個熱帶風暴襲擊菲律賓，帶來土石流與洪水等致命災情。另外，凱米也襲擊日本西南部島嶼，與那國島24日午後出現時速達180公里的陣風；在台灣，凱米也造成2死279傷，至24日晚間災情近3500件，凱米已於25日清晨出海，並減弱為中度颱風。",Yahoo奇摩新聞,7月24日
高雄水利及滯洪設施奏效 凱米強颱淹水面積僅莫拉克9.2%,https://news.google.com/read/CBMi7AJBVV95cUxNY3lZQzNtckpsOFRqa1R2cElNMkhMN1YzZTJSVUNGZ1JKdGtNVXNwNktNT0VBdVhRM3FsSlRld3ZfOGl4V2hXQWM2cHdMaTBkUVR5UDVxNkl1azEwWVo1VG0xMENLYVVFbk1UWmVVbUdSSkdjMU5zTTVTNE9xR0E1YkNpREtocDdDaVk0bjY1TDhjekVuZlFFVm9yYUFKVFZTc0ZUQUNtWHM1anpxVmxQaFEzRVhXMUtIMDJQUzdPVVZfZS1Kc3lMQ3JmTkNBbWJEUVhPTTNLeG5LVWdyZzc0VndiZDdwQVgxemxkYllQQVJCTW5zSnI5REVfR2FraE1HTjN6cTduTkJNcEtyRVJRdm13anFjYjBSZDFkY3dMaTRtRkN3aDBIeUlJZE5wUjZtS3Vhc0E0ZEJ5cTBwanVtaUNsZGUta05tSVIzSmdRWHlMLThSeEZWWmNmWTFNUHh4a1BnVWVKTGp0QUtL?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"凱米颱風帶來致災性豪雨，加上同時間遭遇天文大潮，在高雄燕巢、岡山、大社、楠梓、大樹等行政區降下超過一百mm的時雨量，全市一百一十九條區域排水皆達一級警戒水位，對此，成大名譽教授游保杉表示，所幸近年強化的水利及滯洪設施發揮效用，從數據來看，淹水面積及退水時間都較之前更少、更快。(見圖)
高市府今(卅)日說明，根據統計資料，凱米颱風平地最大累計雨量為七百七十八.五mm(大樹區)，相較莫拉克颱風當時為七百二十九.五mm(大樹區)，致災性降雨嚴峻程度超過莫拉克；然而莫拉克颱風時，高雄只有一座本和里滯洪池，滯洪量僅十一萬噸，當時高雄市區多處淹水深度超過一公尺，低窪地區甚至達一層樓高。
相較現今，高雄已經完成二十五座滯洪池四百九十八萬噸滯洪量，約可容納二千四百五十座標準泳池的水量，凱米颱風期間二十五座滯洪池近全滿，若無這些滯洪池滯留洪水，讓四百九十八萬噸洪水漫流至市區，肯定會造成高雄更大淹水災情；另統計，凱米颱風造成高雄淹水面積四百九十八公頃，相較莫拉克颱風的五千四百公頃僅9.2%，且都會區的淹水大多一小時左右退水，時間也明顯縮短。
成功大學前工學院院長游保杉名譽教授指出，台灣位於颱風侵襲的路徑，未來氣候變遷可能讓侵襲台灣颱風的降雨有增強趨勢，這是台灣必須面對而無法避免的降雨條件，我們更需認知到，未來的降雨強度與總量超過目前水利設施保護標準的機會可能更為頻繁；當超過設計標準所造成的淹水應該是合理而可以接受現象，不宜輕易說治水無效來打擊水利工程師的言論。游教授也提到，國際上很早就認知從工程角度而言，淹水是無可避免地，因而提倡「與洪水共存」的理念；淹水最直接影響的是社區與民眾，因此建議上從中央、地方政府，下自社區與居民，宜共同參與建立韌性的防災體系。
高市府表示，將評估檢討提高保護標準並賡續執行相關排水改善工程，也提醒工程手段無法完全避免災害發生，協助民眾取得水情資訊、鼓勵淹水地區加裝防水閘門、輔導成立自主防災社區等各項有助於提升防洪韌性之策略，也會是持續努力的目標。",Yahoo奇摩新聞,7月30日
日本山形縣秋田縣大雨3死 逾千棟民宅淹水,https://news.google.com/read/CBMiWkFVX3lxTFB5anNoM1o0WVR3ak12T3J6ZS1fdGVVNG01bVVDU0p0cFNoVldfRmdheE5JdEp2VmJ5aTA5dVdVVFFkOUlocjNINFdNSV9FSWktdWlIWVpYQjlYd9IBX0FVX3lxTE9Lay1qdWt3RVFYYjlCX1RpY1hpaFV2ODNrMmQ5aFB5YVduT0pwMFduUGdhYjduUzZVV3VVUkYxc2EzbEFRU1REblpibjZmSlhVV1Vjc2FHVkE3T2FYcFBN?hl=zh-TW&gl=TW&ceid=TW%3Azh-Hant,"日本山形縣、秋田縣上週降下破紀錄大雨，已知造成3人死亡、多地水患與土石流等災情，超過1000棟民宅淹水。山形新幹線山形站至新庄站區間停駛至8月中旬。
日本放送協會（NHK）報導，山形縣與秋田縣受到梅雨鋒面影響，上週降下破紀錄大雨，導致最上川等多條河流氾濫，進一步造成多地淹水、土石流等災情。
山形縣內各地方政府表示，截至昨天下午4時，17個市町村約1100棟民宅淹水，包含遊佐町約350棟，戶澤村與酒田市分別約300棟。
另外，秋田縣政府表示，北秋田市有2棟民宅遭土石流侵襲受損；由利本莊市、橫手市等地共164棟民宅遭遇程度不一的淹水，還有長照機構也出現淹水災情。
山形縣與秋田縣內的地方政府仍在確認受災全貌。
山形地方電視台櫻桃電視台（SAY）報導，JR東日本公司宣布，受到豪雨影響，山形新幹線往返山形站至新庄站區間的列車停駛到8月中旬。
地方鐵道路線部分，JR東日本山形分支表示，奧羽本線村山站至新庄站之間的列車停駛到8月中；奧羽本線新庄站至院內站、陸羽東線及陸羽西線等部分區間停駛，目前不清楚何時能搶通。
NHK詢問山形縣與秋田縣警方後得知，受到大雨影響，兩縣各有2人與1人，總共3人死亡，其中包含山形縣新庄市的1名員警。
本月25日有兩名員警駕駛巡邏車值勤時，在山形縣新庄市一座橋梁附近遭大水沖走失聯，其中1名警察不幸死亡；昨天在警車被沖走的地點附近，有人發現1名男性死者，警方正在確認身分。
秋田市1名86歲老翁26日被人發現陳屍於雄物川。警方初步研判他疑似掉入水位上漲的河川中罹難。
至於失蹤部分，山形縣酒田市1名86歲婦人欲與家人撤離，行走在河畔步道時下落不明；25日，秋田縣湯澤市一處道路工地發生土石流，1名年逾六旬工程人員被捲入，至今生死未卜。",經濟日報,7月29日
